"CODE","LOCATION","TYPE","RATING (MAX = 5)","Address","Description","Long Description","Tags_Creation_Description","Ticket Info","image_path","open_time","close_time","coordinate","tags","image_url"
"FB019","Vietnam House Restaurant","F&B",4.8,"93-95-97 Dong Khoi, Ho Chi Minh City","Vietnam House Restaurant serves authentic Vietnamese cuisine.","","",70.0,"https://ak-d.tripcdn.com/images/0105o12000khxndpu2F0E.jpg","11:30","21:30","10.774962, 106.7040873","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888619/FB019.jpg"
"FB020","Bun Cha 145","F&B",3.6,"145 Bui Vien | Pham Ngu Lao Ward, District 1","Bun Cha 145 is a popular spot for its authentic Hanoi bun cha.","","",6.0,"https://ak-d.tripcdn.com/images/0105a12000fetjd8b926A.jpg","11:00","16:00","10.7663698, 106.6918038","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888628/FB020.jpg"
"FB021","Pho Mien Ga Ky Dong","F&B",4.7,"5 14, Bis Ky Dong Street Ward 9, District 3, Ho Chi Minh City 70000 Vietnam","A Vietnamese restaurant specializing in Ky Dong-style pho and mien ga.","","",7.0,"https://ak-d.tripcdn.com/images/0102l12000d602ysv6A4F.png","05:30","22:30","10.7839022, 106.6819786","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888639/FB021.png"
"FB022","Jaspas Restaurant","F&B",4.2,"33 Dong Khoi St, District 1, Ho Chi Minh City, Ho Chi Minh City 70000","Jaspas is a casual restaurant serving varied Western fare.","","",20.0,"https://ak-d.tripcdn.com/images/10060k000000caia2A5D9.jpg","07:30","00:00","10.773607, 106.70559","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888648/FB022.jpg"
"FB023","94 Restaurant","F&B",4.5,"94 Dinh Tien Hoang, DaKao Ward, District 1","It is a restaurant named ""94 Restaurant.""","","",15.0,"https://ak-d.tripcdn.com/images/10030n000000eg1xuE827.jpg","06:00","21:00","10.790264, 106.6977304","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888653/FB023.jpg"
"FB024","Cha Ca La Vong","F&B",4.0,"No 3-5 Ho Xuan Huong Street, Ward 6, District 3, Ho Chi Minh City 70000, Vietnam","Cha Ca La Vong is Hanoi's legendary restaurant specializing solely in its iconic turmeric-dill grilled fish dish.","","",9.0,"https://ak-d.tripcdn.com/images/100a0g0000007q6oxCE5F.jpg","11:00","22:00","10.778043, 106.68889","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888661/FB024.jpg"
"FB025","Den Long - Home Cooked Vietnamese Restaurant","F&B",4.1,"130 nguyen trai, District 1 ho chi minh city","Den Long offers authentic home-cooked Vietnamese food.","","",11.0,"https://ak-d.tripcdn.com/images/100v12000000t11ep15DD.jpg","11:00","22:00","10.7696967, 106.6907744","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888672/FB025.jpg"
"FB026","SORAE","F&B",4.6,"Level 51, Bitexco Financial Tower, 2 Hai Trieu Street, Ben Nghe Ward, D1, HCMC, Ho Chi Minh City, Vietnam","SORAE offers exquisite modern Japanese cuisine alongside breathtaking panoramic views from its high-rise location.","","",104.0,"https://ak-d.tripcdn.com/images/0106d12000d5zyz1x1210.jpg","11:00","23:00","10.7720023, 106.7042935","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888682/FB026.jpg"
"FB027","BEPMEIN 1 - LE THANH TON","F&B",4.2,"136/9 Đ. Lê Thánh Tôn, Phường Bến Thành, Quận 1, Hồ Chí Minh, Vietnam","BEPMEIN 1 - LE THANH TON is a Vietnamese noodle restaurant.","","",8.0,"https://ak-d.tripcdn.com/images/0103m12000bd2mraxD4A9.jpg","10:30","22:30","10.7738567, 106.6980798","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888692/FB027.jpg"
"FB028","Guanabana Smoothies","F&B",5.0,"23 Ly Tu Trong, Quan 1, 23 Ly Tu Trong, District 1, Ho Chi Minh City 70000","Guanabana Smoothies offers refreshing drinks primarily made from soursop fruit.","","",7.0,"https://ak-d.tripcdn.com/images/100b0k000000cao7b543C.jpg","7:30","22:00","10.7804245, 106.7035507","","https://res.cloudinary.com/dgc2a1loy/image/upload/v1761888701/FB028.jpg"
